VMRSCode,"Long Description","Short Description ",Obsolete,Comments
KOEFR,"Koetter Fire Protection LLC","Koetter Fire Protection",,
KOHLR,"KOHLER CO.",,,
KOISB,"Kois Brothers Equipment Co","Kois Brothers Equipment",,
KOKOV,Kokoverk,Kokoverk,,
KOLBT,Kolbenschmidt,Kolbenschmidt,,
KLDBN,"Kold-Ban International, Ltd.",KBI,,
KLDHL,"KOLD-HOLD, KOLD-HOLD DIV., TRANTER",,,
KLRKT,"KOLOR-KUT PRODUCTS CO.",,,
KLSTD,"KOLSTAD COMPANY, INC.",,,
KMTSF,"KOMATSU FORKLIFT USA, INC.",,,
KMTSU,"Komatsu Inc","Komatsu Inc",,"Requested by Parts River "
KMDRS,"Komdresco SA","Komdresco SA",,
KOMPT,"Komptech Group ","Komptech Group ",,
KONCR,"Kone Cranes","Kone Cranes",,
KONET,"KONETA RUBBER CO.",,,
KONGA,"Kongsberg Automotive","Kongsberg Automotive",,
KONIX,Koni,Koni,,
KONTK,Kontak,Kontak,,
KONVX,"Konvex Rubber Inc","Konvex Rubber",,"Requested by Parts River "
KOOLK,"Kool Klutch","Kool Klutch",,
KOKUS,"Kool Kushion","Kool Kushion",,
KOOLV,Kool-View,Kool-View,,
KOOLT,Kooltron,Kooltron,,
KOLVN,"KOOLVAN, ARCTIC TRAVELER DIV., TRANE",,,
KOPPR,"Koppers Co Inc","Koppers Co Inc",,
KORCL,"Kor Cool","Kor Cool",,
KORCM,"Kor-Chem Inc",Kor-Chem,,
KRDCL,"KORODY COLYER",,,
KOSTF,"Kost Fire-Safety","Kost Fire-Safety",,
KOSTU,"Kost USA","Kost USA",,
KOSTL,"Kostal of American Inc",Kostal,,"350 Stephenson HwyTroy, Mi.Requested by Gordon Trk "
KOTEK,"Kotek America Inc","Kotek America Inc",,
KOVEQ,"Kovatch Mobile Equipment","Kovatch Mobile",,"Requested by Parts River "
KOYOC,"Koyo Canada Inc","Koyo Canada",,
KOYOR,"Koyo Radiators","Koyo Radiators",,
KOYOS,"Koyo Seiko","Koyo Seiko",,"Requested by FedEx"
KPIND,"KP INDUSTRIES",,,
KPIJC,KPI-JCI,KPI-JCI,,
KMPXX,"KPM Brand","KPM Brand",,
KRTLL,"KR Tools","KR Tools",,
KRACO,"Kraco Enterprises LLC",Kraco,,
KRFTP,"Kraft Power Corp","Kraft Power",,
KRAFT,"Kraftsman Inc",Kraftsman,,
KRLTR,Kralinator,Kralinator,,
KRAMR,Kramer,Kramer,,
KRAUS,"Krause Corp","Krause Corp",,
KRUSS,Krauss-Maffei,Krauss-Maffei,,
KRDTR,"KRD Trucking","KRD Trucking",,
KDRCP,"Kreider Corp",Kreider,,"Requested by Parts River "
KRSKY,"Kresky Signs Inc.","Kresky Signs",,"Requested by FedEx"
KRESS,Kress,Kress,,
KRISX,"KRIS Engineering ","KRIS Engineering",,
KRSTI,"Kristi Trailer Industries","Kristi Trailer",,"Requested by Rich Viehdorfer, National Grid"
KRTCK,KrisTrack,KrisTrack,,
KRHNR,"KROHNERT STAINLESS INC.",,,
KTKDN,"Kromatik Design","Kromatik Design",,"Requested by Parts River "
KRONE,Krone,Krone,,
KROWN,"Krown Rust Control","Krown Rust",,
KRUGR,"Krueger - HVAC","Krueger - HVAC",,
KRGER,"Kruger Inc","Kruger Inc",,
KRUPP,Krupp,Krupp,,
KRYLN,KRYLON,,,
KRYST,"Krystal Enterprises","Krystal Enterprises",,
KSTRM,"KS Terminals Inc","KS Terminals",,
KSGXX,"KSG Motorsports","KSG Motorsports",,
KSIDT,"KSI Distribution ","KSI Distribution ",,
KSRIN,"KSR International Inc","KSR International",,"Requested by Parts River "
"KTRCP ","KTR Corp","KTR Corp",,
KUABU,"Kuab Konsult & Utveckling AB","Kuab Konsult & Utveckling AB",,
KUBOT,"KUBOTA, LTD.",,,
KUHNX,"Kuhn North America Inc","Kuhn North America",,
KUMHO,"Kumho Tire Company","Kumho Tire",,"14605 Miller Ave.Fontana, CA 92336"
KUNDA,"Kunda Industrial","Kunda Industrial ",,
KNKVL,"KUNKLE VALVE CO., INC.",,,
KUPER,Kupper,Kupper,,
KURIY,"Kuriyama of America Inc","Kuriyama of America",,
KURTH,"Kurt Hydraulics","Kurt Hydraulics",,
KUSUS,"KUS USA Inc ","KUS USA Inc ",,
KUSML,"Kussmaul Electronics","Kussmaul Electronics",,
KSTFT,"KUSTOM FIT",,,
KUSTM,"Kustom Signals","Kustom Signals",,"Requested by Parts River "
KUTKW,"KUT-KWICK CORP.",,,
KVCIN,"KVC Industries Corp ","KVC Industries ",,
KWPWR,"KW Powersource","KW Powersource",,
MIRKA,"KWH Mirka Ltd","KWH Mirka Ltd",,
KWKLC,Kwik-Loc,Kwik-Loc,,
KWKLK,"Kwik-Lok Corporation",Kwik-Lok,,
KWIKW,"KWIK-WAY INDUSTRIES, INC.",,,
KYBXX,"KYB America LLC","KYB America LLC",,
KYMXX,"KYM Industris Inc","KYM Industries",,
KYEIW,"Kyoritsu Electrical Instruments Works LTD","Kyoritsu Electrical Instruments",,
KYSOR,"KYSOR INDUSTRIAL CORP.",,,
KYSBY,"KYSOR OF BYRON, KYSOR IND CORP.",,,
KWSWS,"KYSOR WESTRAN",,,
KYMED,Kysor-Medallion,Kysor-Medallion,,"Requested by Jim Robinson, AutoZone"
KYSCD,"KYSOR/CADILLAC DIV., KYSOR IND",,,
LAFAS,"L A Fasteners Inc","L A Fasteners",,
LMXXX,"L and M Radiator","L and M Radiator",,
LDINC,"L & D Inc","L & D Inc",,"Requested by Parts River "
LHGUN,"L H Gunn","L H Gunn",,
LHTHR,"L & H THREADED RODS DIVISION, GRAY AMERICAN CORP.",,,
LJFAS,"L & J Fasteners","L & J Fasteners",,
LLFIT,"L & L Fittings","L & L Fittings",,"Requested by Parts River "
LMRAD,"L & M Radiator Inc ","L & M Radiator",,
LSBRN,"L & S BEARING CO.",,,"Replaces - LANDS"
LCOMI,"L-COM Inc","L-COM Inc",,
LSSXX,"Lab Safety Supply Inc","Lab Safety Supply",,
LBARG,Labarge,Labarge,,
LABCX,Labc,Labc,,
LBLMS,LABELMASTER,,,
LABKL,LabKlass,LabKlass,,
LABRQ,"LABRIE EQUIPMENT INC.",,,
LACAL,"Lacal Equipment","Lacal Equipment",,
LACKX,"Lack Wheel Trim System","Lack Wheel Trim System",,
LACHL,"Laclede Chain Manufacturing Company","Laclede Chain",,
LACRE,Lacre,Lacre,,
MILMC,"Lacy J Miller Machine Co","Lacy J Miller Machine",,"Requested by Parts River "
LADAX,Lada,Lada,,
LADIS,"Ladd Industrial Sales","Ladd Industrial",,"Requested by Parts River "
LTIXX,"Ladder Towers Inc","Ladder Towers",,
LRDAL,"Laerdal Medical","Laerdal Medical",,
LAFGX,"Lafarge Road Marking Equipment","Lafarge Road Marking Equipment",,
LAGAS,"Lagasse Inc","Lagasse Inc",,
LAHER,"LAHER SPRING & ELECTRIC CAR CORP.",,,
LASHI,"Lahey and Sharpe Enterprises Inc","Lahey and Sharpe Enterprises Inc",,
LAIRD,"Laird ",Laird,,
"LTNER ","Laitner Brush Company","Laitner Brush",,
LAKCN,"Lake Central","Lake Central",,
LKMON,"Lake Monitors","Lake Monitors",,
LKSFB,"LAKESIDE FABRICATING & ENGRG CO.",,,
LAKWD,Lakewood,Lakewood,,
"LAMEE ","Lam-E Industries","Lam-E Industries",,
LAMAR,"Lamar Trailers Inc","Lamar Trailers Inc",,
LMBRT,"LAMBRETTA, SERVETA INDUSTRIAL, S.A.",,,
LAMAU,"Lamiver Inc.",Lamiver,,"3805 Dollard-Desjardins StreetMontreal, Qc    Canada  H1B 5W9"
LAMOT,"LaMotte Company","LaMotte Company",,
LANPP,"Lancaster Preferred Partners LLC","Lancaster Preferred Partners",,
LNCRB,"Lancer Boss","Lancer Boss",,
LNCRC,"Lancer Corporation","Lancer Corporation",,
LANCI,Lancia,Lancia,,
LNDRV,"Land Rover North America, Inc.","Land Rover",,
LANDA,Landa,Landa,,
LANDI,"Landini Inc",Landini,,
LNDLL,"Landoll Corp",Landoll,,
LANDP,"Landpride Corp",Landpride,,"Requested by Parts River "
LANDS,"Lands Bearing","Lands Bearing",YES,"Obsolete - use LSBRN"
LANGT,"Lang Tools","Lang Tools",,
MEKRA,"Lang-Mekra North America",Mekra,,"Lang-Mekra North America101 Tillesses Blvd.Ridgeway, SC 29130Requested by Parts Riverupdated by mrw"
LANGS,Lange's,Lange's,,
LNGFR,"LANGFORD TRUCK EQUIPMENT",,,
LANFL,"LANNS Filtros","LANNS Filtros",,
LNSBG,"LANSING BAGNALL LTD.",,,
LNTIS,Lantis,Lantis,,
LAPCO,"Lapco Mfg","Lapco Mfg",,
LAPCX,"Lapco Parts","Lapco Parts",,
LAPWL,"Lapmasters Wolters ","Lapmasters Wolters ",,
LAPPG,"Lapp Group North America","Lapp Group",,
"LARES ","Lares Corporation","Lares Corporation",,
LARKX,"Lark United Manufacturing Inc","Lark United Manufacturing Inc",,
LARSN,"Larsen Antenna","Larsen Antenna",,
LAREL,"Larsen Electronics LLC","Larsen Electronics LLC",,
LASEL,"Lascar Electronics","Lascar Electronics",,
LASMP,"Laser Amp Inc","Laser Amp Inc",,
LSRCT,"Laser Cut Inc","Laser Cut",,
LASEQ,"Laser Equation LTD","Laser Equation",,
LATGR,"Latitude Graphics LLC","Latitude Graphics LLC",,
LATRO,"Latrobe Foundry","Latrobe Foundry",,
LAELC,"Laurel Electronics Inc","Laurel Electronics",,
LAURN,"Laurin Inc","Laurin Inc",,
LAURM,"Laurinburg Machine Company ","Laurinburg Machine Company ",,
LAUSN,Lauson,Lauson,,
LAUTR,Lautrette,Lautrette,,
LAWNB,"Lawn-Boy, Toro Corp.",Lawn-Boy,,
LWSPR,"LAWSON PRODUCTS CO.",,,
LAYCO,"Layco Materials Handling Equipment","Layco Materials Handling Equipment",,
LCLXX,"Laydon Composites Ltd","Laydon Composites",,
LAYMR,Laymour,Laymour,,"Requested by National Grid "
LAYTN,"Layton Pavers","Layton Pavers",,"Requested by Parts River "
LZRLT,Lazorlite,Lazorlite,,
LBFIL,"LB Filters","LB Filters",,
LBTIN,"LBT Inc","LBT Inc",,"Omaha, Ne. Requested by Jerry Wiessinger"
LBXXX,"LBX Company LLC","LBX Company LLC",,
LDIIN,"LDI Industries Inc","LDI Industries",,
LDJMN,"LDJ Manufacturing Inc","LDJ Manufacturing Inc",,
LDVXX,"LDV Group Limited","LDV Group",,
LEACH,"LEACH CO.",,,
LEADX,Leader,Leader,,
LEWOL,"Leahy-Wolf Company","Leahy-Wolf Company",,
LEARC,"Lear Chemical Research Corporation","Lear Chemical Research Corporation",,
LERSG,"LEAR SIEGLER INC.",,,
LECIN,"Lecinena Trailers - Europe","Lecinena Trailers ",,
LECTR,"Lectronix, Inc.","Lectronix, Inc.",,
LEDTC,"LED Technologies Ltd","LED Technologies",,
LEDEL,"Ledels Welding Service","Ledels Welding Service",,
LNDRR,Lederer,Lederer,,
LEDTI,"Ledtronics Inc",Ledtronics,,
LDWSN,"LEDWELL & SON ENTERPRISES",,,
LEEXX,"Lee Brake Hardware and Kits","Lee Brake Hardware",,
LEEFL,"Lee Filter","Lee Filter",,
LEENO,"Lee Nor ","Lee Nor",,
LEESP,"Lee Spring Company ","Lee Spring",,
LEETR,"LEE TIRE & RUBBER CO. (GOODYEAR)",,,
LETRA,"Lee Trailer","Lee Trailer",,"Requested by Parts River "
LEEBY,"Leeboy ","Leeboy ",,
LECNV,"LEECE-NEVILLE CO.",,,
LEEDS,"Leeds Transit Inc","Leeds Transit ",,
LEERX,"LEER SOUTHWEST",,,
LEESN,"Leeson Electric Corporation","Leeson Electric",,
LEGMF,"Legacy Manufacturing Co ","Legacy Manufacturing",,
"LGDVL ","Legend Valve","Legend Valve",,
LGPTI,"Leggett & Platt Inc ","Leggett & Platt Inc ",,
LEGIO,"Legion Clamps","Legion Clamps",,
LEGND,Legrand,Legrand,,
LEGRS,"Legris ",Legris,,
LEHMN,Lehman,Lehman,,
LTHSR,"Leithiser Company","Leithiser Co.",,"Requested by Rich Viehdorfer, National Grid"
LLAND,Leland,Leland,,
LELYX,"Lely Agricultural Equipment","Lely Agricultural",,"Requested by Parts River "
"LEMCO ","Lemco Hydraulics","Lemco Hydraulics",,
LMFDR,Lemforder,Lemforder,,
LMPCO,Lempco,Lempco,,
LENCO,"Lenco Welding Accessories Ltd","Lenco Welding",,
LNMRI,"LENMAR INDUSTRIES INC.",,,
LENOX,Lenox,Lenox,,
LENRC,Lenroc,Lenroc,,
LENZX,Lenz,Lenz,,
LEZNC,"Lenzinc Inc",Lenzinc,,
CVLIR,"Leo's Cavelier, Inc.","Leo's Cavelier, Inc.",,"Requested by Rich Viehdorfer, National Grid"
LEOCH,"Leoch International Technology Limited Inc ","Leoch International Technology Limited Inc ",,
LEONI,"Leoni AG","Leoni AG",,
LEROI,"LEROI AIR EQUIP OF CANADA LTD.",,,
LRYSM,"Leroy-Somer div of Emerson Electric",Leroy-Somer,,
LEROB,"Les Aciers Robond Inc","Les Aciers Robond",,
"LSCOX ","Lesco Distributing","Lesco Distributing",,
LESCO,"Lesco Turf Equipment","Lesco Turf",,"Requested by Parts River "
LSTEK,"Lestek Electrical Equipment","Lestek Electrical",,
LSTRX,Lester,Lester,,
LESTR,"Lester Electrical of Nebraska Inc","Lester Electrical of Nebraska ",,
BRSRD,"Lester L. Brossard Manufacturing","Lester L. Brossard",,"930 Diechman StWoodstock, Il. 60098Requested by SEFL "
LETRN,Letourneau-Westinghouse,Letourneau-Westinghouse,,
LTRKA,Letrika,Letrika,,
LETSP,"Lettrage Signature Plus","Lettrage Signature Plus",,
LVLRD,"Level Ride Division","Level Ride Division",,
LEVIN,"Levin's Supply","Levin's Supply",,
LEVIT,"Leviton Mfg",Leviton,,
LEVYS,"Levy Steering","Levy Steering",,
LWNMF,"Lewellyn Mfg",Lewellyn,,"Requested by Parts River "
LEWBL,"Lewis Bolt & Nut Co","Lewis Bolt & Nut Co",,
LEWIS,"LEWIS, J W JR & CO.",,,
LWSSH,"LEWIS-SHEPARD DIV., HYSTER CORP.",,YES,"Obsolete - use HYSTR"
LEWSN,"Lewishon Sales Co","Lewishon Sales",,
LEXUS,Lexus,Lexus,,"Bob Brown requested"
LYLDF,"LEYLAND DAF",,YES,"Obsolete - use LYLTR"
LYLTR,"LEYLAND TRUCKS",,,"Replaces - LYLDF"
LYMNM,"LEYMAN MFG. CO.",,,
LFHUD,"LF Hudgens Corp","LF Hudgens",,
LGCRP,"LG Corporation","LG Corporation",,
LGKIN,"LGK Industries Inc","LGK Industries Inc",,
LGMXX,"LGM Hardware Ltd","LGM Hardware Ltd",,
LHAXX,LHA,LHA,,
LIAZX,"Liaz-Liberecke Automobilove Zavody",Liaz-Liberecke,,
LBBOW,"LIBBEY-OWENS FORD CO.",,,
LIBIN,"Liberty Industries","Liberty Industries",,
LIBMS,"Liberty Marking Systems","Liberty Marking Systems",,
LIBPE,"Liberty Process Equipment Inc ","Liberty Process Equipment Inc ",,
LIBTR,"Liberty Trailer & Equipment ","Liberty Trailer & Equipment ",,
LICRB,"Lichter Rubber Products","Lichter Rubber",,"Requested by Parts River "
LIDTR,"Liddell Trailers","Liddell Trailers",,
LIEBC,"Liebehr Corp",Liebehr,,"Requested by Parts River "
LBCON,"Liebherr Construction Equipment Co.","Liebherr ",,
LFQSM,"LIFE QUEST MOBILITY CENTER INC.",,,
LFTIM,"Life-Time Fenders LLC","Life-Time Fenders",,"Replaces - LFTMT"
LIGRD,"LifeGuard Technologies, div. of IMMI",LifeGuard,,"18881 US 31NWestfield, Ind. 46074Requested by Mike Miller"
LFNCI,"Lifetime Nut Covers Inc","Lifetime Nut Covers Inc",,
LFTMT,"LIFETIME TRUCK PRODUCTS, INC.",,YES,"Obsolete - use LFTIM"
LFINC,"Lift All Inc.","Lift All Inc.",,
LFTKG,"Lift King Industries, Inc.","Lift King Industries, Inc.",,
LFTPA,"LIFT PARTS MFG.",,,
LIFTR,"LIFT RITE INC.",,,
LIFSD,"Lift Supports Depot ","Lift Supports Depot ",,
LFTES,"Lift Technologies, Inc.","Lift Technologies",,"251 Woodlawn RdGuelph, Ontario, CanadaRequested by FedEx"
LFTAL,"LIFT-A-LOFT CORP.",,,
LADHT,"Lift-All Division of Hydra-Tech, Inc.","Lift All",,"P.O. Box 9738Fort Wayne, IN 46899Requested by Gloria Eure, Niagara Mohawk, A National Grid Comp.updated by mrw"
LIFTU,Lift-U,Lift-U,,
LFTMA,LiftMaster,LiftMaster,,
LIFTM,"Liftmore Inc",Liftmore,,
LIFTV,"Liftv Inc",Liftv,,"Requested by Parts River "
LIASI,"Light and Siren","Light and Siren",,
LFPLI,"Lightforce Performance Lighting Inc","Lightforce Performance Lighting Inc",,
LTPDI,"Lighting Products Inc","Lighting Products",,"Requested by Parts River "
LTLNS,"Lightning Lines Inc","Lightning Lines",,
LTWND,Lightwind,Lightwind,,"Requested by Parts River "
LIMEL,"LIMA ELECTRIC COMPANY, INC",,,
LIMCO,"Limco Manufacturing, Inc.","Limco Mfg.",,"Requested by Rich Viehdorfer, National Grid"
LINMR,"Linamar Machine Ltd","Linamar Machine",,
LINCH,"Lincoln Chrome","Lincoln Chrome",,
LINCL,"LINCOLN DIV., PENTAIR CO",,,
LNCLN,"Lincoln, division of Ford Motor Company","Lincoln Division",,
LNCEC,"LINCOLN ELECTRIC CO., INC.",,,"Replaces - LNCEL"
LNCEL,"LINCOLN ELECTRIC CO. OF CANADA LTD.",,YES,"Obsolete - use LNCEC"
LNCLI,"Lincoln Industrial","Lincoln Industrial",,"Previously incorrectly assigned as LNCLNShould be LNCLI"
LNCNI,"Lincoln Industries ","Lincoln Industries",,
LINKN,"Lincoln Mfg","Lincoln Mfg",,
LINPR,"Lincoln Products","Lincoln Products",,
LNDDV,"LINDE DIV., UNION CARBIDE CORP.",,,
LINDE,"LINDE HYDRAULICS CORP., LINDE (WGFR)",,,
LINLF,"Linde Lift Trucks","Linde Lift Trucks",,
LINMT,"Lindstrom Metric Inc","Lindstrom Metric",,
LNHLR,"LINEHAULER INC., ROCOR INT'L",,,
LNMST,"LINEMASTER SWITCH CORP., THE",,,
LINET,"Linetech Design and Mfg Ltd","Linetech Design and Mfg",,
LINGL,"Ling Long Tire","Ling Long Tire",,
LNKMF,"LINK MANUFACTURING, LTD.",,,
LINKB,"Link-Belt Construction Equip",Link-Belt,,
LNKAM,"LinkAmerica Corporation",LinkAmerica,,
LINNI,"Linnig Clutch","Linnig Clutch",,
LINSL,Linseal,Linseal,,
LIPRL,"LIPE ROLLAWAY CORP.",,,
LCIXX,"Lippert Components Inc","Lippert Components",,
LIPRT,"Lippert Enterprises Inc","Lippert Enterprises Inc",,
LIQUD,"Liquid Controls div of Idex Corp","Liquid Controls",,
LIQDM,"Liquid Dynamics Inc","Liquid Dynamics Inc ",,
LLINC,"Liquid Level Inc","Liquid Level",,"Requested by Parts River "
LIMPG,"Liquid MPG","Liquid MPG",,
LIQUP,"Liquip International",Liquip,,
LSLCR,"LISLE CORP.",,,
LSTDS,"LISTER DIESEL, INC.",,YES,"Obsolete - use LIPET"
LIPET,"Lister Petter","Lister Petter",,"Replaces - LSTDS"
LTCHK,"Lite-Check LLC",Lite-Check,,"3102 E Trent AveSpokane, WA "
LITGD,"Lite-Gard, Inc",Lite-Gard,,"Requested by Kirk NationaLease"
LTFLX,"Liteflex LLC","Liteflex LLC",,
LTELN,"Liteline Inc",Liteline,,
LITEN,"Litens Automotive","Litens Automotive",,
LITWT,"LITEWATE TRANSPORT EQUIPMENT CORP.",,,
LTTLF,Littelfuse,Littelfuse,,
LTLBV,"Little Beaver Inc","Little Beaver Inc",,
LITLE,"Little Fuse Inc","Little Fuse",YES,"Obsolete - use LTTLF"
LITGI,"Little Giant","Little Giant",,
LTRBS,"Little Rock Bolt & Supply Co","Little Rock Bolt & Supply Co",,
LWNDR,"Little Wonder, Inc.","Little Wonder",,
LTTLJ,"Littlejohn Inc",Littlejohn,,
LKIND,"LK Industries Inc","LK Industries",,
LKQXX,"LKQ Corporation","LKQ Corporation",,
LMATX,Lmat,Lmat,,
LMCXX,Lmc,Lmc,,
LMFXX,"LMF Inc","LMF Inc",,
LOMAR,"Lo-Mar Corporation",Lo-Mar,,"Requested by Parts River "
LDAIR,"Load Air","Load Air",,
LDGDX,"Load Guard","Load Guard",,
LDKNG,"Load King Manufacturing","Load King Mfg.",,"Requested by Rich Viehdorfer, National Grid"
LDFTR,"Load Lifter","Load Lifter",,
LLINE,"Load Line Inc ","Load Line Inc",,
LDRTL,"Load Rite Trailers","Load Rite Trailers",,
LOADS,"Load System International Inc","Load System International",,
LOADT,"Load Trail Inc","Load Trail ",,
LDCRF,"Loadcraft Trailer","Loadcraft Trailer",,"Requested by Parts River "
LOADX,"Loading Automation Inc","Loading Automation",,
"LODLK ","Loadlok Manufacturing","Loadlok Manufacturing",,
LDMAN,"Loadman ",Loadman,,
LMAST,"Loadmaster Refuse Equipment","Loadmaster Refuse",,
LODSF,"Loadtrek Software","Loadtrek Software",,
LOCKE,Locke,Locke,,
LOCKH,Lockheed,Lockheed,,
LOCKW,Lockwood,Lockwood,,
LCTTE,"LOCTITE CORPORATION",,,
LODAL,"Lodal ",Lodal,,
LOKNG,"LodeKing Industries",LodeKing,,"Requested by TMW"
LODIM,"Lodi Metals, Inc.",,,"POBox 67Lodi, OH  44254www.lodimetals.comrequested by SEFLupdated by mrw"
LOEBX,"Loeb Electric","Loeb Electric",,
LOEDX,"LOED CORPORATION",,,
LOESG,"Loesing Filter","Loesing Filter",,
LOFLN,"Loflin Fabrication LLC","Loflin Fabrication",,
LOGCL,"Logan Clutch Corp","Logan Clutch",,
LOGAN,"Logan Manufacturing Co ",Logan,,
LOGBR,"Logermann Brothers Company","Logermann Brothers Company",,
LOGIA,Logicalis,Logicalis,,
LOGSP,"Logistics Supply","Logistics Supply",,
LOGTC,Logitech,Logitech,,
LOGOX,"Logo Industries (Macau) Ltd","Logo Industries",,
LOHRI,"Lohr Industrie","Lohr Industrie",,
LOJCK,"LoJack Corp",LoJack,,
LOMBR,Lombardini,Lombardini,,
LONDN,"LONDON CONCRETE MACHINERY DIV.",,,
LHCCO,"London Harness & Cable Corp","London Harness & Cable",,"Requested by Parts River "
LSAFE,"Lone Star Safety & Supply","Lone Star Safety & Supply",,
LNSTR,"Lone Star Wynn","Lone Star Wynn",,
LNGCH,"LONG CHIH INDUSTRIAL CO., LTD","LONG CHIH INDUSTRIAL CO, LTD",,"Taipei, Taiwan"
LONGX,"Long Manufacturing, Ltd.",Long,,
LNGRC,"LONG REACH MFG.",,,
LONGP,"Long Special Products Group",LongSPG,,
LNGLF,Longlife,Longlife,,
LNGTR,"Longmarch Tires","Longmarch Tires",,
LNGEL,"Longwood Elastomers div of Wabtec Industries ","Longwood Elastomers",,
LONFF,"Lonseal Flooring","Lonseal Flooring",,
LKTRL,"Look Trailers","Look Trailers",,
LOOSI,"Loos & Company Inc","Loos & Company Inc",,
LORXX,"Lor Manufacturing Co Inc","Lor Manufacturing",,
LRAIN,Lorain,Lorain,,
LRDCP,"LORD CORPORATION",,,
LORNZ,"Lorenz Conveying Products","Lorenz Conveying",,
LOREX,"Lorex Technology Inc","Lorex Technology",,
LORWF,"Lorne's Welding & Fabrication Ltd","Lorne's Welding & Fabrication",,
LSNHN,Losenhausen,Losenhausen,,
LTRDG,"Lot Ridge","Lot Ridge",,"Requested by Parts River "
LOTUS,Lotus,Lotus,,
LVLXX,"Louisville Ladder","Louisville Ladder",,
"GERSN ","Lousi M Gerson","Lousi M Gerson",,
LOVES,"Love's Travel Stops & Country Stores",Love's,,
LOVEJ,"Lovejoy Inc","Lovejoy Inc",,
LOWEM,"Low Mach","Low Mach",,
LOWEB,"Lowe Boats","Lowe Boats",,"Requested by Paul Grandstrand, First Vehicle Services, 513-419-3254"
LOWEC,"Lowen Corp","Lowen Corp",,
LWNDC,"LOWEN DECAL CO.",,,
LOWEX,Lowes,Lowes,,
LOXXX,"LOX EQUIPMENT CO.",,,
LOXCO,"Loxcreen Company Inc",Loxscreen,,"Requested by Parts River "
"LPWRT ","LP Wire-Tie","LP Wire-Tie",,
LPFXX,LPF,LPF,,"Requested by National Grid "
LPMXX,LPM,LPM,,
LPSLB,"LPS LABORATORIES",,,
LRVBD,"LRV Bedmats","LRV Bedmats",,
LSTCH,"LS Technologies","LS Technologies",,
LSTRC,"LS Tractor USA LLC","LS Tractor USA LLC",,
LSDAX,"LSDA Locksmith Dealers of America","LSDA Locksmith Dealers of America",,
LTSEC,"LT Security","LT Security",,
LTDFE,"LTD-Ferro Battery Chargers ",LTD-Ferro,,
LSCXX,"Lts Scale Corporation","Lts Scale Corporation",,
LBBCK,"LUBBOCK MFG. CO.",,,
LBABM,Lube-A-Boom,Lube-A-Boom,,
LUBEG,Lubegard,Lubegard,,
LBRFN,LUBER-FINER,,,
LUBOX,"Lubo USA","Lubo USA",,
LUBTC,Lubrimatic,Lubrimatic,,
LBRPL,"LUBRIPLATE DIV., FISK BROS. REF. CO.",,,
LUBRQ,"Lubriquip, Inc.",Lubriquip,,
LCSAF,"LUCAS AFTERMARKET OPERATIONS",,,
LUCAS,"LUCAS AUTOMOTIVE",,,
LUCEL,"Lucas Electrical Company","Lucas Electrical",,
LUGIR,"Lucas Girling","Lucas Girling",,
LUCSO,"Lucas Oil Products Inc","Lucas Oil Products",,
LUCEN,"Lucen Engineering","Lucen Engineering",,
LCRIX,"Lucerix International Corporation","Lucerix International",,
LUCID,"Lucid International Inc","Lucid International Inc",,
"LCDTY ","Lucidity Enterprise Co ltd","Lucidity Enterprise Co",,
LUDMS,"Ludlum Measurements Inc","Ludlum Measurements",,
LUFKN,"Lufkin Industries","Lufkin Industries",,
LUFRG,"Lufkin Rubber & Gasket Co","Lufkin Rubber & Gasket Co",,
LFKTR,"LUFKIN TRAILERS",,,
LUGER,Lugger,Lugger,,
LUJAN,"Lujan USA Inc","Lujan USA Inc",,
LUKAU,"Luk Automotive Hydraulic","Luk Automotive",,"Requested by Parts River "
LUKET,"Luke's Trailer Manufacturing & Sales ","Luke's Trailer Manufacturing & Sales ",,
LULLX,"Lull International","Lull International",,
LUMSV,"Lumaco Sanitary Valves","Lumaco Sanitary Valves",,
LUMAX,"Lumax Lubrication Equipment","Lumax Lubrication",,
LUMLD,"Lumileds LLC",Lumileds,,
LUMLT,"Lumilite International Ltd",Lumilite,,
LUMTG,"Luminator Technology Group","Luminator Technology Group",,
LULTC,"Lumisave LED Technologies Ltd","Lumisave LED Technologies",,
LUMTC,Lumitec,Lumitec,,
LUNDX,"Lund International","Lund International",,
LNNIN,"LUNN INDUSTRIES, INC.",,,
LUSTY,"Lusty EMS Trailers","Lusty EMS Trailers",,
LVTKG,"Luverne Truck Equipment","Luverne Truck Equipment",,
LXGTT,"Luxfer - GTM Technologies LLC","Luxfer - GTM Technologies LLC",,
LXWOD,"Luxwood Auto Trim Inc","Luxwood Auto Trim",,
LWNCP,"LWNDC Products","LWNDC Products ",,
LYCOM,Lycoming,Lycoming,,
LYDAL,"Lydall Inc","Lydall Inc",,
LYDNC,"Lyden Company ","Lyden Company",,
LYNCH,"Lynch Hydraulic Mfg Co Inc","Lynch Hydraulic",,
LYNCO,"Lynco Products","Lynco Products",,
LYNDN,"Lynden Tank Co","Lynden Tank Co",,
LNNCT,"LYNN COACH & TRUCK CO.",,,
LYNNT,"Lynn Truck Parts","Lynn Truck Parts",,
LYNFN,"Lynnfin Truck Technologies","Lynnfin ",,
LYNXC,"Lynx Chain, BAART Industrial Group","Lynx Chain",,
LYNXX,"Lynx Power Systems ","Lynx Power Systems ",,
LYONM,"Lyon Metal","Lyon Metal",,
